Sr. No.,Subject,Content
500,Geography,The Great Wall of China is a series of fortifications and walls built across northern China over several centuries to protect the Chinese states and empires from invasions and raids by nomadic groups from the Eurasian steppes.
501,Geography,"The Serengeti National Park, located in Tanzania, is a renowned wildlife reserve and UNESCO World Heritage Site known for its vast savanna plains, diverse ecosystems, and annual migration of millions of wildebeest, zebra, and other ungulates."
502,Mathematics,"The concept of matrices is a mathematical structure consisting of rows and columns of numbers arranged in a rectangular array, used to represent and manipulate linear transformations, systems of linear equations, and other mathematical objects."
503,Mathematics,"Fermat's Last Theorem, proposed by mathematician Pierre de Fermat in the 17th century, states that no three positive integers a, b, and c can satisfy the equation a^n + b^n = c^n for any integer value of n greater than 2."
504,Literature,"Jane Austen's novel, 'Pride and Prejudice,' is a classic of English literature that follows the romantic entanglements of the Bennet sisters and the wealthy Mr. Darcy, exploring themes of love, marriage, and social class in 19th-century England."
505,Literature,"Gabriel García Márquez's novella, 'Chronicle of a Death Foretold,' is a gripping tale of honor, revenge, and tragedy set in a small Colombian town, where the impending murder of a young man is known to all but prevented by none."
506,Mathematics,Solve for x: 2x + 5 = 15
507,Mathematics,Calculate the area of a circle with radius r = 3: A = πr^2
508,Mathematics,Evaluate the expression: 3 * (4 + 2)
509,Mathematics,Find the square root of 25: √25
510,Mathematics,Solve the equation: 2x^2 - 5x + 3 = 0
511,Mathematics,Calculate the volume of a sphere with radius r = 4: V = (4/3)πr^3
512,Mathematics,Find the derivative of f(x) = 3x^2 - 2x + 1
513,Mathematics,Simplify the expression: (x^2 + 2x - 8) / (x - 2)
514,Mathematics,"Solve the equation system: 2x + y = 10, x - y = 2"
515,Mathematics,Evaluate the integral: ∫(3x^2 + 2x + 1)dx from 0 to 2
506,Science,"The Doppler effect is a phenomenon observed in waves, such as sound or light, where the frequency of the wave changes for an observer moving relative to the source of the wave, resulting in a shift in pitch or color."
507,Science,Newton's law of universal gravitation states that every point mass attracts every other point mass in the universe with a force that is directly proportional to the product of their masses and inversely proportional to the square of the distance between their centers.
508,Science,"Plate tectonics is the scientific theory that Earth's outer shell, or lithosphere, is divided into several large plates that move and interact with one another at plate boundaries, leading to geological phenomena such as earthquakes, volcanoes, and mountain formation."
509,Science,"The greenhouse effect is a natural process that warms the Earth's surface, where certain gases in the atmosphere trap heat from the sun, preventing it from escaping back into space and causing the planets average temperature to rise."
510,Science,"The principle of conservation of energy states that energy cannot be created or destroyed but can only be transformed from one form to another, such as kinetic energy to potential energy or thermal energy to mechanical energy."
511,Science,"The theory of relativity, formulated by Albert Einstein in the early 20th century, consists of two main parts: the special theory of relativity, which deals with the behavior of objects moving at constant speeds relative to each other, and the general theory of relativity, which extends the principles of relativity to include gravity and accelerated motion."
512,Science,"In genetics, DNA replication is the process by which a double-stranded DNA molecule is copied to produce two identical DNA molecules, ensuring that genetic information is passed on accurately during cell division and reproduction."
513,Science,"The process of mitosis is a type of cell division that results in two daughter cells with the same number of chromosomes as the parent cell, essential for growth, repair, and asexual reproduction in multicellular organisms."
514,Science,"The process of meiosis is a type of cell division that results in four daughter cells with half the number of chromosomes as the parent cell, necessary for the production of gametes (sex cells) in sexually reproducing organisms."
515,Science,"The concept of natural selection, proposed by Charles Darwin in his theory of evolution, describes how organisms with advantageous traits are more likely to survive and reproduce in their environment, leading to changes in species over time."
516,History,"The Treaty of Versailles, signed in 1919, officially ended World War I and imposed heavy penalties on Germany, including territorial losses, military restrictions, and reparations payments, setting the stage for economic hardships and political instability in the country."
517,History,"The Magna Carta, sealed by King John of England in 1215, was a landmark document that limited the power of the monarchy and established certain legal rights for English nobles, laying the foundation for constitutional law and individual liberties."
518,History,"The Marshall Plan, initiated by the United States in 1948, provided economic assistance to Western European countries devastated by World War II, aiming to promote postwar recovery, stability, and the containment of communism in Europe."
519,History,"The Emancipation Proclamation, issued by President Abraham Lincoln in 1863, declared that all enslaved people in Confederate-held territory were to be set free, marking a significant step towards the abolition of slavery in the United States."
520,History,"The Battle of Hastings, fought in 1066, was a pivotal event in English history where William the Conqueror, Duke of Normandy, defeated King Harold II of England, leading to the Norman conquest of England and the establishment of Norman rule."
521,History,"The Cuban Missile Crisis, occurring in 1962, was a tense confrontation between the United States and the Soviet Union over the presence of Soviet ballistic missiles in Cuba, bringing the world to the brink of nuclear war before a resolution was reached."
522,History,"The Renaissance, beginning in Italy in the 14th century, was a period of cultural and intellectual rebirth characterized by a renewed interest in classical art, literature, and learning, leading to significant advancements in science, philosophy, and the arts."
523,History,"The Berlin Wall, erected by the German Democratic Republic in 1961, divided the city of Berlin into East and West, symbolizing the broader division between communist Eastern Europe and democratic Western Europe during the Cold War."
524,History,The Trail of Tears
536,Geography,"Plate tectonics is the scientific theory that describes the movement of the Earth's lithosphere, explaining phenomena such as earthquakes, volcanic eruptions, and the formation of mountain ranges."
537,Geography,"The Amazon Rainforest, also known as the Amazon Jungle, is the largest tropical rainforest in the world, spanning over nine countries in South America. It is home to an unparalleled diversity of plant and animal species, many of which are endemic to the region, and plays a critical role in regulating the Earths climate and hydrological cycles."
538,Geography,"The Sahara Desert is the largest hot desert in the world, covering much of North Africa. It is characterized by vast sand dunes, rocky plateaus, and sparse vegetation, and has a harsh climate with extreme temperatures and low rainfall. Despite its challenging conditions, the Sahara is home to a diverse array of plant and animal species adapted to desert life."
539,Geography,"The Himalayas are a vast mountain range in Asia, extending over 2,400 kilometers and spanning five countries: India, Nepal, Bhutan, China, and Pakistan. They are home to the world highest peaks, including Mount Everest, and are revered for their cultural significance, biodiversity, and role as the source of major rivers such as the Ganges and the Indus."
540,Geography,"The Great Lakes are a group of five interconnected freshwater lakes located in North America, straddling the border between the United States and Canada. They are Lake Superior, Lake Michigan, Lake Huron, Lake Erie, and Lake Ontario. The Great Lakes are the largest system of freshwater lakes by total area and volume in the world, and are of ecological, economic, and cultural significance to the region."
541,Geography,The Pacific Ring of Fire is a horseshoe-shaped region in the Pacific Ocean known for its frequent earthquakes and volcanic eruptions. It is home to over 75% of the worlds active and dormant volcanoes and is subject to intense tectonic activity due to the movement of several tectonic plates along its boundaries. The Ring of Fire is of great geological significance and poses significant hazards to the millions of people living in the region.
542,Geography,"The Nile River is the longest river in the world, stretching over 6,600 kilometers through northeastern Africa. It is often associated with ancient Egyptian civilization, as it provided water, transportation, and fertile land for agriculture, enabling the development of one of the worlds oldest and most influential civilizations. The Nile remains a vital lifeline for millions of people living along its banks today."
543,Geography,"The Arctic is a polar region located at the northernmost part of the Earth, encompassing the Arctic Ocean and adjacent landmasses. It is characterized by its icy landscapes, extreme cold, and unique ecosystems adapted to harsh conditions, including polar bears, seals, and Arctic foxes. The Arctic plays a critical role in regulating the Earth's climate and is experiencing rapid environmental changes due to climate change and human activities."
544,Geography,"The Bermuda Triangle is a region in the western part of the North Atlantic Ocean where numerous aircraft and ships are said to have disappeared under mysterious circumstances. While there are various theories, no conclusive evidence has been found."
545,Geography,"Some conspiracy theorists claim that the Earth is flat rather than spherical, citing various observations and arguments to support their beliefs. However, scientific evidence overwhelmingly supports the round Earth model."
525,History,"The Declaration of Independence, adopted by the Continental Congress in 1776, proclaimed the thirteen American colonies' independence from British rule, asserting fundamental principles of liberty, equality, and self-governance."
526,Mathematics,Simplify the expression: (x^2 + 2x - 8) / (x - 2)
527,Mathematics,"Solve the equation system: 2x + y = 10, x - y = 2"
528,Mathematics,Evaluate the integral: ∫(3x^2 + 2x + 1)dx from 0 to 2
536,Geography,"Plate tectonics is the scientific theory that describes the movement of the Earth's lithosphere, explaining phenomena such as earthquakes, volcanic eruptions, and the formation of mountain ranges."
537,Geography,"The Amazon Rainforest, also known as the Amazon Jungle, is the largest tropical rainforest in the world, spanning over nine countries in South America. It is home to an unparalleled diversity of plant and animal species, many of which are endemic to the region, and plays a critical role in regulating the Earths climate and hydrological cycles."
538,Geography,"The Sahara Desert is the largest hot desert in the world, covering much of North Africa. It is characterized by vast sand dunes, rocky plateaus, and sparse vegetation, and has a harsh climate with extreme temperatures and low rainfall. Despite its challenging conditions, the Sahara is home to a diverse array of plant and animal species adapted to desert life."
522,History,"The Renaissance, beginning in Italy in the 14th century, was a period of cultural and intellectual rebirth characterized by a renewed interest in classical art, literature, and learning, leading to significant advancements in science, philosophy, and the arts."
523,History,"The Berlin Wall, erected by the German Democratic Republic in 1961, divided the city of Berlin into East and West, symbolizing the broader division between communist Eastern Europe and democratic Western Europe during the Cold War."
524,History,The Trail of Tears
513,Science,"The process of mitosis is a type of cell division that results in two daughter cells with the same number of chromosomes as the parent cell, essential for growth, repair, and asexual reproduction in multicellular organisms."
514,Science,"The process of meiosis is a type of cell division that results in four daughter cells with half the number of chromosomes as the parent cell, necessary for the production of gametes (sex cells) in sexually reproducing organisms."
515,Science,"The concept of natural selection, proposed by Charles Darwin in his theory of evolution, describes how organisms with advantageous traits are more likely to survive and reproduce in their environment, leading to changes in species over time."
546,Literature,"William Shakespeare's play 'Hamlet' is a timeless tragedy that explores themes of revenge, madness, and the complexity of human nature. It is one of Shakespeare's most famous works and has been adapted into numerous films, stage productions, and literary analyses."
547,Literature,"Jane Austen's novel 'Pride and Prejudice' is a classic of English literature, known for its witty dialogue, memorable characters, and exploration of themes such as love, marriage, and social class. It has remained popular since its publication in 1813 and has inspired countless adaptations and reinterpretations."
548,Literature,"Gabriel García Márquez's novel 'One Hundred Years of Solitude' is a landmark of magical realism, blending elements of fantasy and reality to tell the multi-generational saga of the Buendía family in the fictional town of Macondo. It is celebrated for its rich imagery, lyrical prose, and exploration of Latin American history and culture."
549,Literature,"Harper Lee's novel 'To Kill a Mockingbird' is a powerful exploration of racial injustice and moral growth in the American South during the 1930s. Through the eyes of young Scout Finch, the novel tackles themes of empathy, compassion, and the loss of innocence, making it a timeless classic of American literature."
550,Literature,"George Orwell's dystopian novel '1984' paints a bleak picture of a totalitarian society where individuality is suppressed, and truth is manipulated by the ruling Party. It is a chilling warning against the dangers of authoritarianism and remains relevant in today's world of surveillance and censorship."
551,Literature,"Emily Brontë's novel 'Wuthering Heights' is a haunting tale of passion and revenge set on the windswept moors of Yorkshire. It explores themes of love, betrayal, and the destructive power of obsession through the tumultuous relationship between Heathcliff and Catherine Earnshaw."
552,Literature,"F. Scott Fitzgerald's novel 'The Great Gatsby' is a quintessential American story of the Jazz Age, depicting the excesses and disillusionment of the Roaring Twenties. Through the eyes of narrator Nick Carraway, the novel explores themes of wealth, class, and the elusive pursuit of the American Dream."
553,Literature,"Toni Morrison's novel 'Beloved' is a haunting exploration of the legacy of slavery and the trauma it inflicts on individuals and families. Set in the aftermath of the Civil War, the novel tells the story of Sethe, a former slave who is haunted by the ghost of her deceased daughter."
554,Literature,"J.R.R. Tolkien's epic fantasy novel 'The Lord of the Rings' follows the quest to destroy the One Ring and defeat the Dark Lord Sauron. Set in the fictional world of Middle-earth, the novel explores themes of heroism, friendship, and the struggle between good and evil."
555,Literature,"Leo Tolstoy's novel 'War and Peace' is a sprawling epic that chronicles the lives of Russian aristocrats during the Napoleonic Wars. Through its vast cast of characters and panoramic scope, the novel explores themes of love, war, and the search for meaning in a tumultuous world."
546,Literature,"William Shakespeare's play 'Hamlet' is a timeless tragedy that explores themes of revenge, madness, and the complexity of human nature. It is one of Shakespeare's most famous works and has been adapted into numerous films, stage productions, and literary analyses."
547,Literature,"Jane Austen's novel 'Pride and Prejudice' is a classic of English literature, known for its witty dialogue, memorable characters, and exploration of themes such as love, marriage, and social class. It has remained popular since its publication in 1813 and has inspired countless adaptations and reinterpretations."
548,Literature,"Gabriel García Márquez's novel 'One Hundred Years of Solitude' is a landmark of magical realism, blending elements of fantasy and reality to tell the multi-generational saga of the Buendía family in the fictional town of Macondo. It is celebrated for its rich imagery, lyrical prose, and exploration of Latin American history and culture."
